fighter,victoria_%,binning,Height,Weight,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg,Stance_Orthodox,Stance_Southpaw
Dmitri Stepanov,0,0,190,217,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Moti Horenstein,0,0,193,230,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Donnie Chappell,0,0,180,178,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Yuri Vaulin,0,0,193,197,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Brian Johnston,40,0,190,230,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Joe Moreira,0,0,180,195,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Dan Bobish,0,0,187,345,2.06,44,1.74,34,2.44,42,0,1.6,0,1
Todd Butler,0,0,185,200,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Alex Hunter,100,1,175,226,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Dave Beneteau,40,0,187,250,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Mark Kerr,100,1,190,266,0.28,41,0.89,28,2.92,77,0,0.4,0,0
Harry Moskowitz,0,0,195,275,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Dwayne Cason,100,1,177,212,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Carlos Barreto,0,0,193,230,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Houston Dorr,0,0,185,210,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Greg Stott,0,0,170,220,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Joe Charles,0,0,185,260,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Marcus Silveira,0,0,190,242,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Kazushi Sakuraba,100,1,182,185,1.26,41,2.03,51,1.26,31,48,1.7,0,1
Igor Zinoviev,0,0,185,199,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Kevin Jackson,67,1,177,199,0.0,0,0.0,0,0.0,0,0,0.0,0,0
Eugenio Tadeu,0,0,172,160,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Hugo Duarte,0,0,182,240,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Joe Pardo,0,0,185,210,0.0,0,0.0,0,0.0,0,0,0.0,0,1
Allan Goes,0,0,182,205,0.64,52,1.35,41,1.75,40,0,2.6,1,0
Bob Gilstrap,0,0,190,200,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Ebenezer Fontes Braga,0,0,182,199,2.42,50,0.42,71,0.0,0,90,0.6,1,0
John Lober,0,0,180,199,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Jerry Bohlander,83,1,180,199,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Darrel Gholar,0,0,172,194,0.0,0,0.0,0,0.0,0,0,0.0,1,0
Townsend Saunders,0,0,165,170,0.0,0,0.0,0,0.0,0,0,0.0,1,0
